BookId	Title	Author	Url
19337	A Christmas Carol	Charles Dickens	https://web.archive.org/web/20231004070348/https://www.litcharts.com/lit/a-christmas-carol
19337	A Christmas Carol	Charles Dickens	https://web.archive.org/web/20230330202918/https://www.sparknotes.com/lit/christmascarol/
19337	A Christmas Carol	Charles Dickens	https://web.archive.org/web/20230330202918/https://www.gradesaver.com/a-christmas-carol
15492	A Doll's House	Henrik Ibsen	https://web.archive.org/web/20230330202918/https://www.cliffsnotes.com/literature/d/a-dolls-house/play-summary
15492	A Doll's House	Henrik Ibsen	https://web.archive.org/web/20230330202918/https://www.gradesaver.com/a-dolls-house
15492	A Doll's House	Henrik Ibsen	https://web.archive.org/web/20230205143312/https://www.litcharts.com/lit/a-doll-s-house
913	A Hero of Our Time	Mikhail Yurevich Lermontov	https://web.archive.org/web/20230330202918/https://www.gradesaver.com/a-hero-of-our-time
376	A Journal of the Plague Year	Daniel Defoe	https://web.archive.org/web/20230330202918/https://www.gradesaver.com/a-journal-of-the-plague-year
31984	A Life Sentence	Adeline Sergeant	https://web.archive.org/web/20230330202918/https://www.gradesaver.com/a-life-sentence
146	A Little Princess	Frances Hodgson Burnett	https://web.archive.org/web/20230330202918/https://www.gradesaver.com/a-little-princess
1778	A Midsummer Night's Dream	William Shakespeare	https://web.archive.org/web/20230330202918/https://www.cliffsnotes.com/literature/m/a-midsummer-nights-dream/play-summary
1778	A Midsummer Night's Dream	William Shakespeare	https://web.archive.org/web/20230207191641/https://www.litcharts.com/lit/a-midsummer-nights-dream
1080	A Modest Proposal	Jonathan Swift	https://web.archive.org/web/20240424025151/https://www.litcharts.com/lit/a-modest-proposal
4217	A Portrait of the Artist as a Young Man	James Joyce	https://web.archive.org/web/20230326094713/https://www.litcharts.com/lit/a-portrait-of-the-artist-as-a-young-man
4217	A Portrait of the Artist as a Young Man	James Joyce	https://web.archive.org/web/20230330202918/https://www.cliffsnotes.com/literature/p/a-portrait-of-the-artist-as-a-young-man/book-summary
4217	A Portrait of the Artist as a Young Man	James Joyce	https://web.archive.org/web/20230330202918/https://www.sparknotes.com/lit/portraitartist/
6709	A Strange Manuscript Found in a Copper Cylinder	James De Mille	https://web.archive.org/web/20230330202918/https://www.gradesaver.com/a-strange-manuscript-found-in-a-copper-cylinder
98	A Tale of Two Cities	Charles Dickens	https://web.archive.org/web/20230330202918/https://www.cliffsnotes.com/literature/t/a-tale-of-two-cities/a-tale-of-two-cities-at-a-glance
